policyUpi,policyId,policyType,cloudType,severity,name,description,searchModel.query
PC-AWS-DMS-558,447fc9ef-a871-4e4b-b34c-46d4aad81f51,config,aws,low,AWS Database Migration Service endpoint do not have SSL configured,This policy identifies Database Migration Service (DMS) endpoints that are not configured with SSL to encrypt connections for source and target endpoints. It is recommended to use SSL connection for source and target endpoints; enforcing SSL connections help protect against 'man in the middle' attacks by encrypting the data stream between endpoint connections.  NOTE: Not all databases use SSL in the same way. An Amazon Redshift endpoint already uses an SSL connection and does not require an SSL connection set up by AWS DMS. So there are some exlcusions included in policy RQL to report only those endpoints which can be configured using DMS SSL feature.   For more details: https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Security.html#CHAP_Security.SSL,"config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-dms-endpoint' AND json.rule = status equals active and (endpointType equals SOURCE and sslMode equals none and engineName is not member of (""s3"", ""azuredb"")) or (endpointType equals TARGET and sslMode equals none and engineName is not member of (""dynamodb"", ""kinesis"", ""neptune"", ""redshift"", ""s3"", ""elasticsearch"", ""kafka""))"
PC-AWS-CWT-1235,5de329bf-6ea4-4bff-8e55-fb9e00adae7d,config,aws,informational,AWS CloudWatch log groups retention set to less than 365 days,"This policy identifies the AWS CloudWatch LogGroups having a retention period set to less than 365 days.   CloudWatch Logs centralize and store logs from AWS services and systems. 1-year retention of the logs aids in compliance with log retention standards. Shorter retention periods can lead to the loss of historical logs needed for audits, forensic analysis, and compliance, increasing the risk of undetected issues or non-compliance.  It is recommended that AWS CloudWatch log group retention be set to at least 365 days to meet compliance needs and support audits, investigations, and analysis.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-cloudwatch-log-group' AND json.rule = retentionInDays exists and retentionInDays less than 365
PC-AWS-API-1262,b5d59925-89c7-41b7-8c90-452bd429bb5f,config,aws,informational,AWS API Gateway REST API execution logging disabled,"This policy identifies AWS API Gateway REST API's that have disabled execution logging in their stages.  AWS API Gateway REST API is a service for creating and managing RESTful APIs integrated with backend services like Lambda and HTTP endpoints. Execution logs log all the API activity logs to CloudWatch, which helps in incident response, security and compliance, troubleshooting, and monitoring.  It is recommended to enable logging on the API Gateway REST API to track API activity.",config from cloud.resource where api.name = 'aws-apigateway-get-stages' AND json.rule = methodSettings.[*].loggingLevel does not exist or methodSettings.[*].loggingLevel equal ignore case off as X; config from cloud.resource where api.name = 'aws-apigateway-get-rest-apis' as Y; filter ' $.X.restApi equal ignore case $.Y.id '; show Y;
PC-AWS-VPC-22,2378dbf4-b104-4bda-9b05-7417affbba3f,config,aws,low,AWS Default Security Group does not restrict all traffic,"This policy identifies the default security groups which does not restrict inbound and outbound traffic. A VPC comes with a default security group whose initial configuration denies all inbound traffic and allow all outbound traffic. If you do not specify a security group when you launch an instance, the instance is automatically assigned to this default security group. As a result, the instance may accidentally send outbound traffic. It is recommended that to remove any inbound and outbound rules in the default security group and not to attach the default security group to any resources.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-ec2-describe-security-groups' AND json.rule = '((groupName == default) and (ipPermissions[*] is not empty or ipPermissionsEgress[*] is not empty))'
PC-AWS-ASY-835,efecd50f-5a1f-4d6d-b862-8e760b9612e4,config,aws,medium,AWS AppSync attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,"This policy identifies AppSync attached with WAFv2 WebACL which is not configured with AWS Managed Rules (AMR) for Log4j Vulnerability. As per the guidelines given by AWS, AppSync attached with WAFv2 WebACL should be configured with AWS Managed Rules (AMR) AWSManagedRulesKnownBadInputsRuleSet and AWSManagedRulesAnonymousIpList to protect from Log4j Vulnerability (CVE-2021-44228).  For more information please refer below URL, https://aws.amazon.com/security/security-bulletins/AWS-2021-006/",config from cloud.resource where api.name = 'aws-appsync-graphql-api' AND json.rule = wafWebAclArn is not empty as X; config from cloud.resource where api.name = 'aws-waf-v2-web-acl-resource' AND json.rule = (webACL.postProcessFirewallManagerRuleGroups.firewallManagerStatement.name does not contain AWSManagedRulesAnonymousIpList or webACL.postProcessFirewallManagerRuleGroups.firewallManagerStatement.name does not contain AWSManagedRulesKnownBadInputsRuleSet) and NOT ( webACL.rules[*].statement.managedRuleGroupStatement.name contains AWSManagedRulesAnonymousIpList and webACL.rules[*].statement.managedRuleGroupStatement.name contains AWSManagedRulesKnownBadInputsRuleSet ) as Y; filter '$.Y.webACL.arn equals $.X.wafWebAclArn'; show X;
PC-AWS-ASY-1151,53f3d4fd-c735-4eae-bdfa-cedec9126d68,config,aws,informational,AWS AppSync has field-level logging disabled,"This policy identifies an AWS AppSync GraphQL API not configured with field-level logging with either 'ERROR' or 'ALL'.  AWS AppSync is a managed GraphQL service that simplifies the development of scalable APIs. Field-level logging in AWS AppSync lets you capture detailed logs for specific fields in your GraphQL API. Without enabling field-level logging, the security monitoring and debugging capabilities may be compromised, increasing the risk of undetected threats and vulnerabilities.  It is recommended to enable field-level logging to ensure granular visibility into API requests, aiding in security, and compliance with regulatory requirements.","config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-appsync-graphql-api' AND json.rule = logConfig.fieldLogLevel is not member of ('ERROR','ALL')"
PC-AWS-EC2-31,7c714cb4-3d47-4c32-98d4-c13f92ce4ec5,config,aws,medium,AWS EBS snapshots are accessible to public,"This policy identifies EC2 EBS snapshots which are accessible to public. Amazon Elastic Block Store (Amazon EBS) provides persistent block storage volumes for use with Amazon EC2 instances in the AWS Cloud. If EBS snapshots are inadvertently shared to public, any unauthorized user with AWS console access can gain access to the snapshots and gain access to sensitive data.",config from cloud.resource where cloud.type = 'aws' and api.name='aws-ec2-describe-snapshots' AND json.rule='createVolumePermissions[*].group contains all'
PC-AWS-DMS-1155,de8ad979-6aa5-460e-b630-c7c79a8a3765,config,aws,low,AWS DMS replication instance automatic version upgrade disabled,"This policy identifies the AWS DMS(Database Migration Service) replication instances that do not have auto minor version upgrade feature enabled  A replication instance in DMS is a compute resource used to replicate data between a source and target database during the migration or ongoing replication process. Failure to enable automatic minor upgrades can leave your database instances vulnerable to security risks stemming from outdated software.  It is recommended to enable automatic minor version upgrades on DMS replication instances to receive timely patches and updates, reduce the risk of security vulnerabilities and improve overall performance and stability.","config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-dms-replication-instance' AND json.rule = replicationInstanceStatus equals ""available"" and autoMinorVersionUpgrade is false"
,866ca1d4-40cb-4626-afa0-5a438a92019a,iam,aws,high,AWS Compute Instance (EC2/Lambda) Assigned Lambda Creation Permissions Which Could Lead to Privilege Escalation,"An adversary able to create a Lambda Function with any role and give themselves the permissions to invoke it would be able to escalate their permissions by attaching a privileged role to the function while defining the Lambda's actions. As such, they would obtain the ability to perform actions using the permissions of the attached role, allowing further enumeration and exploitation of the environment.","config from iam where dest.cloud.type = 'AWS' AND action.name CONTAINS ALL ('iam:PassRole', 'lambda:CreateFunction', 'lambda:AddPermission') AND source.cloud.resource.type IN ('instance', 'function')"
PC-AWS-ATN-1130,5405e934-1c52-450a-84d4-0b84c5eb2fa8,config,aws,low,AWS Athena Workgroup data encryption at rest not configured,"This policy identifies AWS Athena workgroups not configured with data encryption at rest.  AWS Athena workgroup enables you to isolate queries for you or your group of users from other queries in the same account, to set the query results location and the encryption configuration. By default, Athena workgroup query run results are not encrypted at rest and client side settings can override the workgroup settings. Encrypting workgroups and preventing overrides from the client side helps in protecting the integrity and confidentiality of the data stored on Athena.  It is recommended to set encryption at rest and enable 'override client-side settings' to mitigate the risk of unauthorized access and potential data breaches.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-athena-workgroup' AND json.rule = WorkGroup.State equal ignore case enabled and (WorkGroup.Configuration.ResultConfiguration.EncryptionConfiguration does not exist or (WorkGroup.Configuration.EngineVersion.EffectiveEngineVersion contains Athena and WorkGroup.Configuration.EnforceWorkGroupConfiguration is false))
PC-AWS-API-833,8d65d3b7-75f2-4628-b07b-ab574041dbdf,config,aws,medium,AWS API Gateway Rest API attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,"This policy identifies AWS API Gateway Rest API attached with WAFv2 WebACL which are not configured with AWS Managed Rules (AMR) for Log4j Vulnerability. As per the guidelines given by AWS, API Gateway Rest API attached with WAFv2 WebACL should be configured with AWS Managed Rules (AMR) AWSManagedRulesKnownBadInputsRuleSet and AWSManagedRulesAnonymousIpList to protect from Log4j Vulnerability (CVE-2021-44228).  For more information please refer below URL, https://aws.amazon.com/security/security-bulletins/AWS-2021-006/",config from cloud.resource where api.name = 'aws-apigateway-get-stages' AND json.rule = webAclArn is not empty as X; config from cloud.resource where api.name = 'aws-waf-v2-web-acl-resource' AND json.rule = (webACL.postProcessFirewallManagerRuleGroups.firewallManagerStatement.name does not contain AWSManagedRulesAnonymousIpList or webACL.postProcessFirewallManagerRuleGroups.firewallManagerStatement.name does not contain AWSManagedRulesKnownBadInputsRuleSet) and NOT ( webACL.rules[*].statement.managedRuleGroupStatement.name contains AWSManagedRulesAnonymousIpList and webACL.rules[*].statement.managedRuleGroupStatement.name contains AWSManagedRulesKnownBadInputsRuleSet ) as Y; filter '$.Y.webACL.arn equals $.X.webAclArn'; show X;
PC-AWS-CT-5,c2b84f89-7ec8-473e-a6af-404feeeb96c5,config,aws,informational,AWS CloudTrail logs are not encrypted using Customer Master Keys (CMKs),"Checks to ensure that CloudTrail logs are encrypted. AWS CloudTrail is a service that enables governance, compliance, operational & risk auditing of the AWS account. It is a compliance and security best practice to encrypt the CloudTrail data since it may contain sensitive information. ",config from cloud.resource where api.name='aws-cloudtrail-describe-trails' AND cloud.type = 'aws' AND json.rule = 'kmsKeyId does not exist'
PC-AWS-DMS-1131,a1497898-ea75-4d3b-b806-b9cae5442771,config,aws,low,AWS DMS replication instance is publicly accessible,"This policy identifies AWS DMS (Database Migration Service) replication instances with public accessibility enabled.  A DMS replication instance is used to connect and read the source data and prepare it for consumption by the target data store. When AWS DMS replication instances are publicly accessible, it increases the risk of unauthorized access, data breaches, and potentially malicious activities.  It is recommended to disable the public accessibility of DMS replication instances to decrease the attack surface.","config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-dms-replication-instance' AND json.rule = replicationInstanceStatus is not member of ('creating','deleted','deleting') and publiclyAccessible is true"
,888f2731-6748-44a6-bcbc-3718205a7b0e,iam,aws,high,AWS Administrators with IAM permissions are unused for 90 days,"This policy identifies AWS IAM Users with Stale IAM Permissions (Unused for 90 days).  Risk of Unused IAM Permissions: IAM users with any level of permissions (administrative or otherwise) that haven't been used for 90 days pose a security risk because: Unsecured Access Point: These accounts act like forgotten open doors. If compromised, attackers can exploit them to gain access to AWS resources and perform unauthorized actions, potentially leading to data breaches or financial losses. Elevated Attack Potential: IAM user permissions can vary widely, with some granting high-level access to modify configurations, create new resources, or manage IAM policies. If compromised, an unused account with such permissions could be devastating.  Mitigating the Risk: Regular Review and Removal: Proactively identify and remove unused IAM users on a regular basis (ideally less than 90 days). Focus on users with any level of permissions, not just administrative privileges. Principle of Least Privilege: When creating IAM users, assign only the minimum permissions required for them to perform their specific tasks. Regularly review and adjust permissions as needed. Multi-Factor Authentication (MFA): Enforce MFA for all IAM users to add an extra layer of security and make it significantly harder for attackers to compromise an account, even if they obtain the credentials. IAM User Access Review: Utilize the AWS IAM Access Review feature to automate the process of identifying and flagging unused accounts for review and potential removal. Monitor for Suspicious Activity: Utilize CloudTrail to track API calls made within your AWS environment, including those leveraging IAM users. This vigilance can help detect unusual activity related to unused accounts that might indicate a compromise.",config from iam where source.cloud.type = 'AWS' and action.access.isadministrative = true and action.lastaccess.days > 90
,cf87131d-0fa0-4f58-b4f1-6a401d89ee9f,iam,aws,high,AWS Compute Instance (EC2/Lambda) Assigned Permissions to Run EC2 Instances Which Could Lead to Privilege Escalation,"An adversary able to run EC2 instances with any role would be able to escalate their permissions by attaching a privileged role to the instance. As such, they would obtain the permissions of the role attached to the EC2, allowing further enumeration and exploitation of the environment.","config from iam where dest.cloud.type = 'AWS' AND action.name CONTAINS ALL ('iam:PassRole', 'ec2:RunInstances') AND source.cloud.resource.type IN ('instance', 'function')"
PC-AWS-KMS-20,497f7e2c-b702-47c7-9a07-f0f6404ac896,config,aws,informational,AWS Customer Master Key (CMK) rotation is not enabled,"This policy identifies Customer Master Keys (CMKs) that are not enabled with key rotation. AWS KMS (Key Management Service) allows customers to create master keys to encrypt sensitive data in different services. As a security best practice, it is important to rotate the keys periodically so that if the keys are compromised, the data in the underlying service is still secure with the new keys.","config from cloud.resource where cloud.type = 'aws' AND api.name='aws-kms-get-key-rotation-status' AND json.rule = keyMetadata.keyState equals Enabled and keyMetadata.keyManager equals CUSTOMER and keyMetadata.origin equals AWS_KMS and (rotation_status.keyRotationEnabled is false or rotation_status.keyRotationEnabled equals ""null"") and keyMetadata.customerMasterKeySpec equals SYMMETRIC_DEFAULT"
,0acd23f7-12c8-48c2-88c4-2962a4778e6e,iam,aws,high,AWS EC2 Instance with AWS Organization management permissions,"This policy identifies IAM permissions that allow EC2 instances to manage AWS Organizations such as creating, deleting, updating AWS Organizations, accounts and Org level policies, features, and services.  AWS Organization write permissions are very risky and should only be used under very strict controls.  Unnecessary usage of these permissions can significantly increase your attack surface and make it easier for attackers to compromise your AWS environment.","config from iam where dest.cloud.type = 'AWS' AND action.name IN ('organizations:AcceptHandshake','organizations:AttachPolicy','organizations:CancelHandshake','organizations:CreateAccount','organizations:CreateGovCloudAccount','organizations:CreateOrganization','organizations:CreateOrganizationalUnit','organizations:CreatePolicy','organizations:DeclineHandshake','organizations:DeleteOrganization','organizations:DeleteOrganizationalUnit','organizations:DeletePolicy','organizations:DeregisterDelegatedAdministrator','organizations:DetachPolicy','organizations:DisableAWSServiceAccess','organizations:DisablePolicyType','organizations:EnableAWSServiceAccess','organizations:EnableAllFeatures','organizations:EnablePolicyType','organizations:InviteAccountToOrganization','organizations:LeaveOrganization','organizations:MoveAccount','organizations:RegisterDelegatedAdministrator','organizations:RemoveAccountFromOrganization','organizations:UpdateOrganizationalUnit','organizations:UpdatePolicy') AND source.cloud.service.name = 'ec2' AND source.cloud.resource.type = 'instance'"
PC-AWS-S3-1113,48744a10-f434-4930-b9ff-4cf8903f50ff,config,aws,high,AWS CloudTrail S3 bucket encrypted with Customer Managed Key (CMK) that is scheduled for deletion,"This policy identifies AWS CloudTrail S3 buckets encrypted with Customer Managed Key (CMK) that is scheduled for deletion.  CloudTrail logs contain account activity related to actions across your AWS infrastructure. These log files stored in Amazon S3 are encrypted by AWS KMS keys. Deleting keys in AWS KMS that are used by CloudTrail is a common defense evasion technique and could be a potential ransomware attacker activity. After a key is deleted, you can no longer decrypt the data that was encrypted under that key, which helps the attacker to hide their malicious activities.  It is recommended to regularly monitor the key used for encryption to prevent accidental deletion.","config from cloud.resource where cloud.type = 'aws' AND api.name= 'aws-s3api-get-bucket-acl' AND json.rule = (sseAlgorithm contains ""aws:kms"" or sseAlgorithm contains ""aws:kms:dsse"") and kmsMasterKeyID exists as X; config from cloud.resource where api.name = 'aws-kms-get-key-rotation-status' AND json.rule = keyMetadata.keyManager equal ignore case CUSTOMER and keyMetadata.keyState contains PendingDeletion as Y; config from cloud.resource where api.name = 'aws-cloudtrail-describe-trails' as Z; filter '$.X.kmsMasterKeyID contains $.Y.key.keyArn and $.Z.s3BucketName equals $.X.bucketName'; show X;"
PC-AWS-RDS-1177,9090e54c-abec-4aed-95a6-4971a35b98dc,config,aws,informational,AWS Aurora MySQL DB cluster does not publish audit logs to CloudWatch Logs,"This policy identifies AWS Aurora MySQL DB cluster where audit logging is disabled or audit logs are not published to Amazon CloudWatch Logs.  Aurora MySQL DB cluster integrates with Amazon CloudWatch for performance metric gathering and analysis, supporting CloudWatch Alarms. While the Aurora MySQL DB cluster provides customizable audit logs for monitoring database operations, these logs are not automatically sent to CloudWatch Logs, limiting centralized monitoring and analysis of database activities.  It is recommended to configure the Aurora MySQL DB cluster to enable audit logs and publish audit logs to CloudWatch","config from cloud.resource where api.name = 'aws-rds-db-cluster' AND json.rule = engine equals ""aurora-mysql"" and status equals ""available"" as X; config from cloud.resource where api.name = 'aws-rds-db-cluster-parameter-group' AND json.rule = DBParameterGroupFamily contains ""aurora-mysql"" as Y; filter '$.X.dBclusterParameterGroupArn equals $.Y.DBClusterParameterGroupArn and (($.Y.parameters.server_audit_logging.ParameterValue does not exist or $.Y.parameters.server_audit_logging.ParameterValue equals 0) or ($.X.enabledCloudwatchLogsExports does not contain ""audit"" and $.Y.parameters.server_audit_logs_upload.ParameterValue equals 0))' ; show X;"
PC-AWS-ACM-214,4f729fe3-3c9d-4255-81da-ae2f6fe0c34b,config,aws,low,AWS ACM Certificate with wildcard domain name,"This policy identifies ACM Certificates which are using wildcard certificates for wildcard domain name instead of single domain name certificates. ACM allows you to use an asterisk (*) in the domain name to create an ACM Certificate containing a wildcard name that can protect several sites in the same domain. For example, a wildcard certificate issued for *.prismacloud.io can match both www.prismacloud.io and images.prismacloud.io. When you use wildcard certificates, if the private key of a certificate is compromised, then all domain and subdomains that use the compromised certificate are potentially impacted. So it is recommended to use single domain name certificates instead of wildcard certificates to reduce the associated risks with a compromised domain or subdomain.",config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-acm-describe-certificate' AND json.rule = 'domainValidationOptions[*].domainName contains *'
PC-AWS-CT-3,36a5345a-230d-438e-a04c-a287a513e3dc,config,aws,informational,AWS CloudTrail is not enabled with multi trail and not capturing all management events,"This policy identifies the AWS accounts which do not have a CloudTrail with multi trail enabled and capturing all management events. AWS CloudTrail is a service that enables governance, compliance, operational & risk auditing of the AWS account. It is a compliance and security best practice to turn on CloudTrail across different regions to get a complete audit trail of activities across various services.  NOTE: If you have Organization Trail enabled in your account, this policy can be disabled, or alerts generated for this policy on such an account can be ignored; as Organization Trail by default enables trail log for all accounts under that organization.","config from cloud.resource where api.name= 'aws-cloudtrail-describe-trails' AND json.rule = 'isMultiRegionTrail is true and includeGlobalServiceEvents is true' as X; config from cloud.resource where api.name= 'aws-cloudtrail-get-trail-status' AND json.rule = 'status.isLogging equals true' as Y; config from cloud.resource where api.name= 'aws-cloudtrail-get-event-selectors' AND json.rule = '(eventSelectors[*].readWriteType contains All and eventSelectors[*].includeManagementEvents equal ignore case true) or (advancedEventSelectors[*].fieldSelectors[*].equals contains ""Management"" and advancedEventSelectors[*].fieldSelectors[*].field does not contain ""readOnly"" and advancedEventSelectors[*].fieldSelectors[*].field does not contain ""eventSource"")' as Z; filter '($.X.trailARN equals $.Z.trailARN) and ($.X.name equals $.Y.trail)'; show X; count(X) less than 1"
PC-AWS-DOC-882,8a1eca79-23af-45b2-bda4-ba6b2f4fa14a,config,aws,low,AWS DocumentDB Cluster is not enabled with data encryption in transit,"This policy identifies Amazon DocumentDB Clusters for which data encryption in transit is disabled. Each DocumentDB Cluster is associated with a Cluster Parameter Group. It is highly recommended to implement in-transit encryption in order to protect data from unauthorized access as it travels through the network, between clients and the cluster.","config from cloud.resource where api.name = 'aws-docdb-db-cluster-parameter-group' AND json.rule = parameters.tls.ParameterValue equals ""disabled"" as X; config from cloud.resource where api.name = 'aws-docdb-db-cluster' AND json.rule = Status equals available as Y; filter '$.X.DBClusterParameterGroupName equals $.Y.DBClusterParameterGroup'; show Y;"
PC-AWS-DYN-1135,facc5782-011c-4f1c-adea-f38c08962f5c,config,aws,low,AWS DynamoDB table point-in-time recovery (PITR) disabled,This policy identifies AWS DynamoDB tables that does not have point-in-time recovery (backup) enabled.  AWS DynamoDB enables you to back up your table data continuously by using point-in-time recovery (PITR) with per-second granularity. This helps in protecting your data against accidental write or delete operations.  It is recommended to enable point-in-time recovery functionality on the DynamoDB table to protect data.,config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-dynamodb-describe-table' AND json.rule = tableStatus equal ignore case ACTIVE AND continuousBackupsDescription.pointInTimeRecoveryDescription.pointInTimeRecoveryStatus does not equal ENABLED
PC-AWS-ASY-1180,a0862fa8-256a-458f-9a63-192add13a53f,config,aws,informational,AWS AppSync GraphQL API is authenticated with API key,"This policy identifies the AWS AppSync Graphql API using API key for primary or additional authentication methods.  AWS AppSync GraphQL API is a fully managed service by Amazon Web Services for building scalable and secure GraphQL APIs. An API key is a hard-coded value in your application generated by the AWS AppSync service when you create an unauthenticated GraphQL endpoint. Using API keys for authentication can pose security risks such as exposure to unauthorized access and limited control over access privileges, potentially compromising sensitive data and system integrity.  It is recommended to use authentication methods other than API Keys like IAM, Amazon Cognito User Pools, or OpenID Connect providers for securing AWS AppSync GraphQL APIs, to ensure enhanced security and access control.","config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-appsync-graphql-api' AND json.rule = authenticationType equals ""API_KEY"" or additionalAuthenticationProviders[?any( authenticationType equals ""API_KEY"" )] exists"
,f13c6791-8e1d-4985-9473-8463c2ab3e95,iam,aws,high,AWS Compute Instance (EC2/Lambda) Assigned Glue DevEndpoint Creation Permissions Which Could Lead to Privilege Escalation,"An adversary able to create a Glue DevEndpoint with any role would be able to escalate their permissions by attaching a privileged role to the endpoint and configuring authentication to the endpoint using a key which they control. As such, they would obtain the ability to perform actions using the permissions of the attached role, allowing further enumeration and exploitation of the environment.","config from iam where dest.cloud.type = 'AWS' AND action.name CONTAINS ALL ('iam:PassRole', 'glue:CreateDevEndpoint') AND source.cloud.resource.type IN ('instance', 'function')"
PC-AWS-API-542,3bc575db-9c1c-4ae3-aeb1-107989ef6fca,config,aws,low,AWS API gateway request authorisation is not set,This policy identifies AWS API Gateways of protocol type REST for which the request authorisation is not set. The method request for API gateways takes the client input that is passed to the back end through the integration request. It is recommended to add authorization type to each of the method to add a layer of protection.,config from cloud.resource where cloud.type = 'aws' AND api.name = 'aws-apigateway-method' AND json.rule = authorizationType contains NONE
